registration_id,effective_date
2000021,8/11/1993
2000042,8/26/1998
2000045,11/26/1998
2000046,11/26/1998
2000048,11/26/1998
2000052,11/26/1998
2000053,1/11/2000
2000055,1/11/2000
2000063,3/11/2001
2000064,1/11/2002
2000067,1/11/2002
2000069,1/11/2002
2000070,1/11/2002
2000073,5/11/2002
2000075,9/3/2002
2000084,4/11/2003
2000087,4/11/2003
2000088,4/11/2003
2000090,4/11/2003
2000093,4/11/2003
2000094,4/11/2003
2000095,4/11/2003
2000097,4/11/2003
2000099,4/11/2003
2000100,4/11/2003
2000102,4/11/2003
2000104,4/11/2003
2000105,4/29/2003
2000106,6/11/2003
2000107,6/11/2003
2000108,7/11/2003
2000109,7/11/2003
2000111,4/2/2007
2000114,4/2/2007
2000116,4/2/2007
2000119,4/2/2007
2000120,4/2/2007
2000122,4/2/2007
2000130,4/2/2007
2000132,4/2/2007
2000137,4/2/2007
2000138,4/2/2007
2000140,4/2/2007
2000142,8/1/2007
2000143,8/1/2007
2000144,8/1/2007
2000145,8/1/2007
2000146,8/1/2007
2000150,7/12/2011
2000154,7/12/2011
2000162,1/1/2013
2000164,1/1/2013
2000166,1/1/2013
2000167,1/1/2013
2000168,1/1/2013
2000169,1/1/2013
2000171,1/1/2013
2000172,1/1/2013
2000173,1/1/2013
2000176,1/1/2013
2000177,1/1/2013
2000179,1/1/2013
2000181,1/1/2013
2000183,1/1/2013
2000185,1/2/2014
2000186,6/2/2014
2000187,6/2/2014
2000188,6/2/2014
2000192,6/2/2014
2000193,6/2/2014
2000194,6/2/2014
2000196,6/2/2014
2000198,6/2/2014
2000199,6/2/2014
2000200,6/2/2014
2000201,6/2/2014
2000202,6/2/2014
2000204,6/2/2014
2000206,6/2/2014
2000211,10/1/2017
2000213,1/2/2018
2000216,8/1/2018
2000217,1/2/2019
2000218,1/2/2019
2000223,2/1/2019
2000225,2/1/2019
2000226,2/1/2019
2000227,2/1/2019
2000229,2/1/2019
2000230,2/1/2019
2000231,2/1/2019
2000233,9/2/2019
2000234,9/2/2019
2000235,9/1/2020
2000236,9/1/2020
2002043,4/12/1993
2002048,11/16/1992
2002049,11/5/1992
2100200,5/22/2023
2100202,6/1/2025
2100214,3/15/2023
2100256,3/15/2023
2110501,11/1/1996
2110670,11/1/1996
2110922,12/1/2023
2111267,11/1/2010
2111268,11/1/2010
2111305,6/2/2025
2111460,7/26/2011
2112079,6/2/2025
2112298,8/1/2024
2112478,6/2/2025
2112533,6/2/2025
2112559,
2112727,6/2/2025
2113222,6/2/2025
2113517,6/2/2025
2400001,11/30/2002
2400002,7/2/2002
2400003,5/21/2003
2400004,8/10/2018
2400005,2/1/2019
2400006,2/1/2019
2400007,2/1/2019
2400008,2/1/2019
2400009,12/1/2020
2400010,3/1/2022
2400011,10/1/2022
2400012,10/1/2022
2400013,10/1/2022
2400014,10/1/2022
2400015,2/1/2023
2400016,6/2/2021
2400017,2/1/2023
2400018,2/1/2023
2400019,8/1/2023
2400020,8/1/2023
2400021,12/1/2024
2500010,11/1/2021
2500018,5/9/2022
2600001,9/1/2018
2600002,10/1/2018
2600003,5/1/2019
2600005,3/1/2019
2600011,9/1/2019
2600017,4/1/2019
2600019,4/1/2019
2600021,6/1/2019
2600022,8/1/2019
2600023,6/1/2019
2600024,8/1/2019
2600025,8/1/2019
2600027,8/1/2019
2600028,8/1/2019
2600029,8/1/2019
2600031,7/1/2019
2600035,2/1/2020
2600043,8/1/2019
2600044,8/1/2019
2600046,11/1/2018
2600050,5/1/2020
2600054,4/1/2019
2600055,5/1/2019
2600057,7/1/2019
2600063,11/1/2018
2600067,4/1/2019
2600079,9/1/2019
2600081,9/1/2019
2600088,10/7/2019
2600095,11/1/2019
2600099,12/1/2019
2600100,12/1/2019
2600105,1/15/2020
2600109,2/1/2020
2600111,12/1/2020
2600112,1/1/2021
2600113,1/1/2021
2600115,3/1/2021
2600117,5/1/2021
2600118,5/1/2021
2600119,5/1/2021
2600120,6/1/2021
2600121,6/1/2021
2600122,6/1/2021
2600123,6/9/2021
2600124,6/11/2021
2600129,1/1/2022
2600135,7/7/2022
2600137,4/1/2023
2600138,4/10/2023
2600139,4/5/2023
2600141,4/5/2023
2600144,9/11/2023
2600145,11/1/2023
2600146,11/15/2023
2600147,1/3/2024
2600148,6/10/2024
2600149,8/5/2024
2600150,8/12/2024
2600151,8/14/2024
2600152,8/12/2024
2600153,8/16/2024
2600154,8/16/2024
2600155,8/16/2024
2600156,8/16/2024
2600157,8/19/2024
2600158,8/26/2024
2600159,4/15/2025
2600160,4/16/2025
2600161,5/5/2025
2900004,11/1/2021
2900005,11/1/2021
2900010,11/1/2022
2900012,12/1/2022
2900013,12/1/2022
2900014,3/1/2023
2900016,3/15/2023
2900017,7/13/2023
2900018,8/14/2023
2900020,9/1/2023
2900023,10/16/2023
2900024,11/2/2023
2900026,5/2/2024
2900027,5/2/2024
2900028,8/1/2024
2900029,8/1/2024
2900030,8/1/2024
2900031,8/1/2024
2900032,8/1/2024
2900033,10/1/2024
2900034,11/1/2024
2900035,12/12/2024
2900036,2/1/2025
2900037,2/5/2025
2900038,2/5/2025
2900039,4/8/2025
